2023-05-05-17:54:31 54.7410900593
2023-05-06-11:21:50 105.079408884
2023-05-07-04:52:00 114.848778009
2023-05-08-09:04:31 168.456244946
2023-05-09-10:50:42 170.3838911057
2023-05-10-10:42:03 117.830239058
2023-05-11-10:02:09 123.836853027
2023-05-12-10:42:29 143.894467115
2023-05-13-13:02:54 168.438657999
2023-05-14-15:23:11 185.466952085
2023-05-15-17:02:16 130.862637997
2023-05-16-15:34:03 125.618982077
2023-05-17-17:52:40 154.156327963
2023-05-18-20:12:57 171.930299997
2023-05-19-22:13:09 184.221320152
2023-05-20-11:49:25 135.389703035
2023-05-21-14:12:12 127.354726791
2023-05-22-17:12:32 146.879160166
